Year,Team,Matches,BowlingEconomy,WicketsPerOver,TotalWickets,WicketsPerMatch,Innings,NotOuts,Runs ,HighScore ,AverageOfRunsScored,BallsFaced,StrikeRate,100s,50s,4s,6s
2019,Chennai Super Kings,17,7.390371052,0.325053665,106,6.235294118,10.18181818,2.636363636,212.0909091,52.72727273,137.23,116.0588235,125.6472727,0,0.823529412,12,5.235294118
2019,Delhi Daredevils,16,7.979669632,0.320838628,101,6.3125,9,1.785714286,171.2142857,38.85714286,149.8125,114.0625,131.8185714,0,0.8125,14.6875,5.375
2019,Kings XI Punjab,14,8.923913043,0.25,69,4.928571429,8.090909091,1.909090909,210.3636364,52,165.2857143,116.9285714,142.2354545,0.071428571,1.071428571,14.07142857,7.857142857
2019,Kolkata Knight Riders,14,8.946171342,0.204700531,54,3.857142857,8.818181818,2,212.2727273,54,166.7857143,114.6428571,138.6490909,0,1.214285714,13.85714286,10.14285714
2019,Mumbai Indians,16,8.068035944,0.295250321,92,5.75,8.357142857,1.857142857,181.4285714,43.64285714,158.75,117,121.4957143,0,0.6875,14.3125,7.1875
2019,Rajasthan Royals,14,8.636363636,0.279106858,70,5,7.416666667,1.583333333,173.1666667,53.91666667,148.4285714,109.3571429,137.2566667,0.142857143,0.642857143,14.5,4.714285714
2019,Royal Challengers Bangalore,14,8.745548081,0.257222002,65,4.642857143,6.785714286,1.357142857,150.5,45.21428571,150.5,108.8571429,119.63,0.071428571,0.928571429,13.28571429,6.642857143
2019,Sunrisers Hyderabad,15,7.851602024,0.276559865,82,5.466666667,7.692307692,1.769230769,178.6153846,43.92307692,154.8,112.8,125.8569231,0.133333333,0.933333333,13.06666667,5.4
2018,Chennai Super Kings,16,8.656050955,0.286624204,90,5.625,8.666666667,2.5,222.9166667,57.16666667,167.1875,116.4375,149.0616667,0.1875,0.9375,13.1875,6.8125
2018,Delhi Daredevils,14,8.960791778,0.285496764,75,5.357142857,7.076923077,1.615384615,171.8461538,54.76923077,159.5714286,108.7857143,143.5338462,0.071428571,1,13.21428571,8.214285714
2018,Kings XI Punjab,14,8.64579404,0.28668427,76,5.428571429,8.5,1.333333333,173.4166667,43.08333333,148.6428571,108.4285714,123.985,0.071428571,0.785714286,11.78571429,7.428571429
2018,Kolkata Knight Riders,16,8.974867725,0.304232804,92,5.75,10.41666667,2,219,43.66666667,164.25,114.25,129.1166667,0,0.6875,15.6875,8.0625
2018,Mumbai Indians,14,8.170197224,0.310445581,85,6.071428571,10.3,1.9,222.9,50.1,159.2142857,116.6428571,130.876,0,0.857142857,14.42857143,7.571428571
2018,Rajasthan Royals,15,8.521229868,0.27818448,76,5.066666667,9,1.692307692,173.6153846,44.38461538,150.4666667,112.5333333,124.7792308,0,0.666666667,12.86666667,5.133333333
2018,Royal Challengers Bangalore,14,8.692907538,0.274786483,74,5.285714286,6.733333333,1.466666667,148.8666667,44.06666667,159.5,111.8571429,132.4713333,0,0.928571429,13.78571429,7.571428571
2018,Sunrisers Hyderabad,17,7.897098415,0.281184565,94,5.529411765,8.923076923,1.923076923,199.1538462,43.30769231,152.2941176,115.8823529,131.2569231,0,0.882352941,14.05882353,5.176470588
2017,Delhi Daredevils,14,8.512939359,0.262649672,68,4.857142857,8,1.5,150.0714286,48.92857143,150.0714286,111.2857143,124.8657143,0.071428571,0.642857143,14.21428571,6.214285714
2017,Gujrat Lions,14,9.123794212,0.225080386,56,4,9.090909091,2.090909091,208.0909091,49.63636364,163.5,113.7857143,140.2572727,0,0.857142857,15.57142857,6.5
2017,Kings XI Punjab,14,8.440295605,0.280046674,72,5.142857143,7.076923077,1.230769231,158.9230769,48.07692308,147.5714286,106.8571429,130.2684615,0.142857143,0.5,13.28571429,6.285714286
2017,Kolkata Knight Riders,16,8.255813953,0.302325581,91,5.6875,8.230769231,1.615384615,178.9230769,46.23076923,145.375,104.4375,128.3223077,0,1,14.0625,5.4375
2017,Mumbai Indians,17,7.808594941,0.301737275,99,5.823529412,9,2.066666667,173.8666667,45.06666667,153.4117647,115.0588235,127.008,0,0.941176471,13.17647059,6.764705882
2017,Rising Pune Supergiants,16,7.696538337,0.323519896,100,6.25,9.090909091,1.545454545,212.2727273,41.14285714,145.9375,112.375,139.5027273,0.0625,0.6875,12.125,5.5625
2017,Royal Challengers Bangalore,14,8.288925895,0.316402998,76,5.428571429,7.615384615,1.153846154,131.8461538,42.15384615,122.4285714,101.0714286,112.9553846,0,0.642857143,9.5,5.285714286
2017,Sunrisers Hyderabad,14,8.121376111,0.34016235,88,6.285714286,7.8,2.1,224.5,57.4,160.3571429,115.6428571,143.099,0.071428571,1.071428571,15.71428571,4.928571429
2016,Delhi Daredevils,14,7.924021489,0.241749808,63,4.5,8.090909091,1.727272727,178.3636364,53.36363636,140.1428571,109.2142857,130.0454545,0.071428571,0.714285714,12.57142857,4.642857143
2016,Gujrat Lions,16,8.273809524,0.248015873,75,4.6875,9.615384615,1.923076923,177.6153846,38.76923077,144.3125,112.6875,125.4176923,0,0.9375,15.0625,3.9375
2016,Kings XI Punjab,14,8.419838524,0.242214533,63,4.5,7,1.266666667,134.1333333,44.06666667,143.7142857,112.5,141.9771429,0,1,13.64285714,3.714285714
2016,Kolkata Knight Riders,15,7.997847147,0.290635091,81,5.4,7.916666667,1.75,176.6666667,31.125,141.3333333,107.6666667,122.9208333,0,1,13,4.266666667
2016,Mumbai Indians,14,7.904540163,0.240589833,62,4.428571429,8,1.846153846,159.4615385,49.07692308,148.0714286,112.9285714,129.1230769,0,0.785714286,13.14285714,6.5
2016,Rising Pune Supergiants,14,8.063393893,0.270583688,70,5,7,2,161.25,45.63636364,138.2142857,106.2142857,134.36,0.071428571,0.785714286,12.21428571,4.857142857
