Year,Team,MeasureName,MeasureType,MeasureValue
2019,Chennai Super Kings,Matches,Matches,17
2018,Chennai Super Kings,Matches,Matches,16
2015,Chennai Super Kings,Matches,Matches,17
2014,Chennai Super Kings,Matches,Matches,16
2019,Chennai Super Kings,BowlingEconomy,Bowling,7.390371052
2018,Chennai Super Kings,BowlingEconomy,Bowling,8.656050955
2015,Chennai Super Kings,BowlingEconomy,Bowling,7.679375563
2014,Chennai Super Kings,BowlingEconomy,Bowling,8.206044849
2019,Chennai Super Kings,WicketsPerOver,Bowling,0.325053665
2018,Chennai Super Kings,WicketsPerOver,Bowling,0.286624204
2015,Chennai Super Kings,WicketsPerOver,Bowling,0.312218553
2014,Chennai Super Kings,WicketsPerOver,Bowling,0.292492688
2019,Chennai Super Kings,TotalWickets,Bowling,106
2018,Chennai Super Kings,TotalWickets,Bowling,90
2015,Chennai Super Kings,TotalWickets,Bowling,104
2014,Chennai Super Kings,TotalWickets,Bowling,90
2019,Chennai Super Kings,WicketsPerMatch,Bowling,6.235294118
2018,Chennai Super Kings,WicketsPerMatch,Bowling,5.625
2015,Chennai Super Kings,WicketsPerMatch,Bowling,6.117647059
2014,Chennai Super Kings,WicketsPerMatch,Bowling,5.625
2019,Chennai Super Kings,Innings,Batting,10.18181818
2018,Chennai Super Kings,Innings,Batting,8.666666667
2015,Chennai Super Kings,Innings,Batting,11.81818182
2014,Chennai Super Kings,Innings,Batting,9.9
2019,Chennai Super Kings,NotOuts,Batting,2.636363636
2018,Chennai Super Kings,NotOuts,Batting,2.5
2015,Chennai Super Kings,NotOuts,Batting,2.454545455
2014,Chennai Super Kings,NotOuts,Batting,2.9
2019,Chennai Super Kings,HighScore ,Batting,212.0909091
2018,Chennai Super Kings,HighScore ,Batting,222.9166667
2015,Chennai Super Kings,HighScore ,Batting,232.8181818
2014,Chennai Super Kings,HighScore ,Batting,251.8
2019,Chennai Super Kings,RunsScored,Batting,137.23
2018,Chennai Super Kings,RunsScored,Batting,167.1875
2015,Chennai Super Kings,RunsScored,Batting,150.64
2014,Chennai Super Kings,RunsScored,Batting,157.35
2019,Chennai Super Kings,BallsFaced,Batting,116.0588235
2018,Chennai Super Kings,BallsFaced,Batting,116.4375
2015,Chennai Super Kings,BallsFaced,Batting,117.3529412
2014,Chennai Super Kings,BallsFaced,Batting,116.6875
2019,Chennai Super Kings,StrikeRate,Batting,125.6472727
2018,Chennai Super Kings,StrikeRate,Batting,149.0616667
2015,Chennai Super Kings,StrikeRate,Batting,133.4772727
2014,Chennai Super Kings,StrikeRate,Batting,145.603
2019,Chennai Super Kings,100s,Batting,0
2018,Chennai Super Kings,100s,Batting,0.1875
2015,Chennai Super Kings,100s,Batting,0.058823529
2014,Chennai Super Kings,100s,Batting,0
2019,Chennai Super Kings,50s,Batting,0.823529412
2018,Chennai Super Kings,50s,Batting,0.9375
2015,Chennai Super Kings,50s,Batting,0.588235294
2014,Chennai Super Kings,50s,Batting,1.0625
2019,Chennai Super Kings,4s,Batting,12
2018,Chennai Super Kings,4s,Batting,13.1875
2015,Chennai Super Kings,4s,Batting,14.64705882
2014,Chennai Super Kings,4s,Batting,12.8125
2019,Chennai Super Kings,6s,Batting,5.235294118
2018,Chennai Super Kings,6s,Batting,6.8125
2015,Chennai Super Kings,6s,Batting,5.647058824
2014,Chennai Super Kings,6s,Batting,7
2019,Chennai Super Kings,MatchesWon,Batting,10
2018,Chennai Super Kings,MatchesWon,Batting,11
2015,Chennai Super Kings,MatchesWon,Batting,9
2014,Chennai Super Kings,MatchesWon,Batting,9
2008,Chennai Super Kings,MatchesWon,Batting,9
2009,Chennai Super Kings,MatchesWon,Batting,8
2010,Chennai Super Kings,MatchesWon,Batting,9
2011,Chennai Super Kings,MatchesWon,Batting,11
2012,Chennai Super Kings,MatchesWon,Batting,9
2013,Chennai Super Kings,MatchesWon,Batting,12
2008,Chennai Super Kings,100s,Batting,0.0625
2009,Chennai Super Kings,100s,Batting,0
2010,Chennai Super Kings,100s,Batting,0.0625
2011,Chennai Super Kings,100s,Batting,0
2012,Chennai Super Kings,100s,Batting,0.055555556
2013,Chennai Super Kings,100s,Batting,0.055555556
2008,Chennai Super Kings,4s,Batting,15
2009,Chennai Super Kings,4s,Batting,13.71428571
2010,Chennai Super Kings,4s,Batting,12.875
2011,Chennai Super Kings,4s,Batting,12.625
2012,Chennai Super Kings,4s,Batting,12.16666667
2013,Chennai Super Kings,4s,Batting,13.38888889
2008,Chennai Super Kings,6s,Batting,5.875
2009,Chennai Super Kings,6s,Batting,5
2010,Chennai Super Kings,6s,Batting,5.8125
2011,Chennai Super Kings,6s,Batting,5.625
2012,Chennai Super Kings,6s,Batting,5.555555556
2013,Chennai Super Kings,6s,Batting,4.666666667
2008,Chennai Super Kings,50s,Batting,0.8125
2009,Chennai Super Kings,50s,Batting,0.714285714
2010,Chennai Super Kings,50s,Batting,0.8125
2011,Chennai Super Kings,50s,Batting,1.1875
2012,Chennai Super Kings,50s,Batting,0.444444444
2013,Chennai Super Kings,50s,Batting,0.888888889
2008,Chennai Super Kings,RunsScored,Batting,143.9375
2009,Chennai Super Kings,RunsScored,Batting,146.0714286
2010,Chennai Super Kings,RunsScored,Batting,145.625
2011,Chennai Super Kings,RunsScored,Batting,152.5625
2012,Chennai Super Kings,RunsScored,Batting,147.7222222
2013,Chennai Super Kings,RunsScored,Batting,129.2222222
2008,Chennai Super Kings,BallsFaced,Batting,107.5
2009,Chennai Super Kings,BallsFaced,Batting,115.2857143
2010,Chennai Super Kings,BallsFaced,Batting,110.375
2011,Chennai Super Kings,BallsFaced,Batting,117.3125
2012,Chennai Super Kings,BallsFaced,Batting,115.2222222
2013,Chennai Super Kings,BallsFaced,Batting,111.3333333
2008,Chennai Super Kings,BowlingEconomy,Bowling,6.325185389
2009,Chennai Super Kings,BowlingEconomy,Bowling,7.7198943
2010,Chennai Super Kings,BowlingEconomy,Bowling,7.463164638
2011,Chennai Super Kings,BowlingEconomy,Bowling,8.207800941
2012,Chennai Super Kings,BowlingEconomy,Bowling,7.880853586
2013,Chennai Super Kings,BowlingEconomy,Bowling,7.106630003
2008,Chennai Super Kings,Matches,Batting,16
2009,Chennai Super Kings,Matches,Batting,14
2010,Chennai Super Kings,Matches,Batting,16
2011,Chennai Super Kings,Matches,Batting,16
2012,Chennai Super Kings,Matches,Batting,18
2013,Chennai Super Kings,Matches,Batting,18
2008,Chennai Super Kings,NotOuts,Batting,2.181818182
2009,Chennai Super Kings,NotOuts,Batting,1.818181818
2010,Chennai Super Kings,NotOuts,Batting,1.727272727
2011,Chennai Super Kings,NotOuts,Batting,2.181818182
2012,Chennai Super Kings,NotOuts,Batting,2.181818182
2013,Chennai Super Kings,NotOuts,Batting,2.272727273
2008,Chennai Super Kings,TotalWickets,Bowling,83
2009,Chennai Super Kings,TotalWickets,Bowling,74
2010,Chennai Super Kings,TotalWickets,Bowling,83
2011,Chennai Super Kings,TotalWickets,Bowling,83
2012,Chennai Super Kings,TotalWickets,Bowling,94
2013,Chennai Super Kings,TotalWickets,Bowling,108
2008,Chennai Super Kings,WicketsPerMatch,Bowling,5.1875
2009,Chennai Super Kings,WicketsPerMatch,Bowling,5.285714286
2010,Chennai Super Kings,WicketsPerMatch,Bowling,5.1875
2011,Chennai Super Kings,WicketsPerMatch,Bowling,5.1875
2012,Chennai Super Kings,WicketsPerMatch,Bowling,5.222222222
2013,Chennai Super Kings,WicketsPerMatch,Bowling,6
2008,Chennai Super Kings,WicketsPerOver,Bowling,0.227959352
2009,Chennai Super Kings,WicketsPerOver,Bowling,0.279350698
2010,Chennai Super Kings,WicketsPerOver,Bowling,0.265855221
2011,Chennai Super Kings,WicketsPerOver,Bowling,0.279085407
2012,Chennai Super Kings,WicketsPerOver,Bowling,0.278601067
2013,Chennai Super Kings,WicketsPerOver,Bowling,0.329972502
2008,Chennai Super Kings,StrikeRate,Batting,139
2009,Chennai Super Kings,StrikeRate,Batting,124.52
2010,Chennai Super Kings,StrikeRate,Batting,118.73
2011,Chennai Super Kings,StrikeRate,Batting,127.77
2012,Chennai Super Kings,StrikeRate,Batting,129.38
2013,Chennai Super Kings,StrikeRate,Batting,123.74
2008,Sunrisers Hyderabad,MatchesWon,Batting,2
2009,Sunrisers Hyderabad,MatchesWon,Batting,9
2010,Sunrisers Hyderabad,MatchesWon,Batting,8
2011,Sunrisers Hyderabad,MatchesWon,Batting,6
2012,Sunrisers Hyderabad,MatchesWon,Batting,4
2008,Sunrisers Hyderabad,100s,Batting,0.142857143
2009,Sunrisers Hyderabad,100s,Batting,0
2010,Sunrisers Hyderabad,100s,Batting,0
2011,Sunrisers Hyderabad,100s,Batting,0
2012,Sunrisers Hyderabad,100s,Batting,0
2008,Sunrisers Hyderabad,4s,Batting,14.5
2009,Sunrisers Hyderabad,4s,Batting,10.8125
2010,Sunrisers Hyderabad,4s,Batting,12.25
2011,Sunrisers Hyderabad,4s,Batting,13.78571429
2012,Sunrisers Hyderabad,4s,Batting,13.07142857
2008,Sunrisers Hyderabad,6s,Batting,6.285714286
2009,Sunrisers Hyderabad,6s,Batting,6.125
2010,Sunrisers Hyderabad,6s,Batting,5.25
2011,Sunrisers Hyderabad,6s,Batting,3.428571429
2012,Sunrisers Hyderabad,6s,Batting,5.214285714
2008,Sunrisers Hyderabad,50s,Batting,0.714285714
2009,Sunrisers Hyderabad,50s,Batting,0.5625
2010,Sunrisers Hyderabad,50s,Batting,0.6875
2011,Sunrisers Hyderabad,50s,Batting,0.571428571
2012,Sunrisers Hyderabad,50s,Batting,0.928571429
2008,Sunrisers Hyderabad,RunsScored,Batting,144.9285714
2009,Sunrisers Hyderabad,RunsScored,Batting,139.625
2010,Sunrisers Hyderabad,RunsScored,Batting,138.25
2011,Sunrisers Hyderabad,RunsScored,Batting,144.8571429
2012,Sunrisers Hyderabad,RunsScored,Batting,149.0714286
2008,Sunrisers Hyderabad,BallsFaced,Batting,109.1428571
2009,Sunrisers Hyderabad,BallsFaced,Batting,99.875
2010,Sunrisers Hyderabad,BallsFaced,Batting,114.0625
2011,Sunrisers Hyderabad,BallsFaced,Batting,111.5714286
2012,Sunrisers Hyderabad,BallsFaced,Batting,117.1428571
2008,Sunrisers Hyderabad,BowlingEconomy,Bowling,7.806848788
2009,Sunrisers Hyderabad,BowlingEconomy,Bowling,7.619372442
2010,Sunrisers Hyderabad,BowlingEconomy,Bowling,7.452830189
2011,Sunrisers Hyderabad,BowlingEconomy,Bowling,7.641296157
2012,Sunrisers Hyderabad,BowlingEconomy,Bowling,7.641889418
2008,Sunrisers Hyderabad,Matches,Batting,14
2009,Sunrisers Hyderabad,Matches,Batting,16
2010,Sunrisers Hyderabad,Matches,Batting,16
2011,Sunrisers Hyderabad,Matches,Batting,14
2012,Sunrisers Hyderabad,Matches,Batting,14
2008,Sunrisers Hyderabad,NotOuts,Batting,1.454545455
2009,Sunrisers Hyderabad,NotOuts,Batting,1.545454545
2010,Sunrisers Hyderabad,NotOuts,Batting,1.636363636
2011,Sunrisers Hyderabad,NotOuts,Batting,1.727272727
2012,Sunrisers Hyderabad,NotOuts,Batting,1.545454545
2008,Sunrisers Hyderabad,TotalWickets,Bowling,60
2009,Sunrisers Hyderabad,TotalWickets,Bowling,92
2010,Sunrisers Hyderabad,TotalWickets,Bowling,92
2011,Sunrisers Hyderabad,TotalWickets,Bowling,80
2012,Sunrisers Hyderabad,TotalWickets,Bowling,78
2008,Sunrisers Hyderabad,WicketsPerMatch,Bowling,4.285714286
2009,Sunrisers Hyderabad,WicketsPerMatch,Bowling,5.75
2010,Sunrisers Hyderabad,WicketsPerMatch,Bowling,5.75
2011,Sunrisers Hyderabad,WicketsPerMatch,Bowling,5.714285714
2012,Sunrisers Hyderabad,WicketsPerMatch,Bowling,5.571428571
2008,Sunrisers Hyderabad,WicketsPerOver,Bowling,0.230858022
2009,Sunrisers Hyderabad,WicketsPerOver,Bowling,0.31377899
2010,Sunrisers Hyderabad,WicketsPerOver,Bowling,0.309973046
2011,Sunrisers Hyderabad,WicketsPerOver,Bowling,0.301431801
2012,Sunrisers Hyderabad,WicketsPerOver,Bowling,0.285609667
2008,Sunrisers Hyderabad,StrikeRate,Batting,130.01
2009,Sunrisers Hyderabad,StrikeRate,Batting,122.6
2010,Sunrisers Hyderabad,StrikeRate,Batting,109.08
2011,Sunrisers Hyderabad,StrikeRate,Batting,129.1
2012,Sunrisers Hyderabad,StrikeRate,Batting,121.6
2019,Delhi Capitals,Matches,Matches,16
2018,Delhi Capitals,Matches,Matches,14
2017,Delhi Capitals,Matches,Matches,14
2016,Delhi Capitals,Matches,Matches,14
2015,Delhi Capitals,Matches,Matches,14
2014,Delhi Capitals,Matches,Matches,14
2019,Delhi Capitals,BowlingEconomy,Bowling,7.979669632
2018,Delhi Capitals,BowlingEconomy,Bowling,8.960791778
2017,Delhi Capitals,BowlingEconomy,Bowling,8.512939359
2016,Delhi Capitals,BowlingEconomy,Bowling,7.924021489
2015,Delhi Capitals,BowlingEconomy,Bowling,7.79340836
2014,Delhi Capitals,BowlingEconomy,Bowling,8.463385354
2019,Delhi Capitals,WicketsPerOver,Bowling,0.320838628
2018,Delhi Capitals,WicketsPerOver,Bowling,0.285496764
2017,Delhi Capitals,WicketsPerOver,Bowling,0.262649672
2016,Delhi Capitals,WicketsPerOver,Bowling,0.241749808
2015,Delhi Capitals,WicketsPerOver,Bowling,0.289389068
2014,Delhi Capitals,WicketsPerOver,Bowling,0.204081633
2019,Delhi Capitals,TotalWickets,Bowling,101
2018,Delhi Capitals,TotalWickets,Bowling,75
2017,Delhi Capitals,TotalWickets,Bowling,68
2016,Delhi Capitals,TotalWickets,Bowling,63
2015,Delhi Capitals,TotalWickets,Bowling,72
2014,Delhi Capitals,TotalWickets,Bowling,51
2019,Delhi Capitals,WicketsPerMatch,Bowling,6.3125
2018,Delhi Capitals,WicketsPerMatch,Bowling,5.357142857
2017,Delhi Capitals,WicketsPerMatch,Bowling,4.857142857
2016,Delhi Capitals,WicketsPerMatch,Bowling,4.5
2015,Delhi Capitals,WicketsPerMatch,Bowling,5.142857143
2014,Delhi Capitals,WicketsPerMatch,Bowling,3.642857143
2019,Delhi Capitals,Innings,Batting,9
2018,Delhi Capitals,Innings,Batting,7.076923077
2017,Delhi Capitals,Innings,Batting,8
2016,Delhi Capitals,Innings,Batting,8.090909091
2015,Delhi Capitals,Innings,Batting,8.363636364
2014,Delhi Capitals,Innings,Batting,7.538461538
2019,Delhi Capitals,NotOuts,Batting,1.785714286
2018,Delhi Capitals,NotOuts,Batting,1.615384615
2017,Delhi Capitals,NotOuts,Batting,1.5
2016,Delhi Capitals,NotOuts,Batting,1.727272727
2015,Delhi Capitals,NotOuts,Batting,2
2014,Delhi Capitals,NotOuts,Batting,1.384615385
2019,Delhi Capitals,HighScore ,Batting,171.2142857
2018,Delhi Capitals,HighScore ,Batting,171.8461538
2017,Delhi Capitals,HighScore ,Batting,150.0714286
2016,Delhi Capitals,HighScore ,Batting,178.3636364
2015,Delhi Capitals,HighScore ,Batting,185.5454545
2014,Delhi Capitals,HighScore ,Batting,151
2019,Delhi Capitals,RunsScored,Batting,149.8125
2018,Delhi Capitals,RunsScored,Batting,159.5714286
2017,Delhi Capitals,RunsScored,Batting,150.0714286
